The Book of Mormon ||| El Libro de Mormón
Be it known unto all nations , kindreds , tongues , and people , unto whom this work shall come : That we , through the grace of God the Father , and our Lord Jesus Christ , have seen the plates which contain this record , which is a record of the people of Nephi , and also of the Lamanites , their brethren , and also of the people of Jared , who came from the tower of which hath been spoken . And we also know that they have been translated by the gift and power of God , for his voice hath declared it unto us ; wherefore we know of a surety that the work is true . And we also testify that we have seen the engravings which are upon the plates ; and they have been shown unto us by the power of God , and not of man . And we declare with words of soberness , that an angel of God came down from heaven , and he brought and laid before our eyes , that we beheld and saw the plates , and the engravings thereon ; and we know that it is by the grace of God the Father , and our Lord Jesus Christ , that we beheld and bear record that these things are true . And it is marvelous in our eyes . Nevertheless , the voice of the Lord commanded us that we should bear record of it ; wherefore , to be obedient unto the commandments of God , we bear testimony of these things . And we know that if we are faithful in Christ , we shall rid our garments of the blood of all men , and be found spotless before the judgment - seat of Christ , and shall dwell with him eternally in the heavens . And the honor be to the Father , and to the Son , and to the Holy Ghost , which is one God . Amen . ||| Conste a todas las naciones , tribus , lenguas y pueblos a quienes llegare esta obra , que nosotros , por la gracia de Dios el Padre , y de nuestro Señor Jesucristo , hemos visto las planchas que contienen esta relación , la cual es una historia del pueblo de Nefi , y también de los lamanitas , sus hermanos , y también del pueblo de Jared , que vino de la torre de que se ha hablado . Y también sabemos que han sido traducidas por el don y el poder de Dios , porque así su voz nos lo declaró ; por tanto , sabemos con certeza que la obra es verdadera . También testificamos haber visto los grabados sobre las planchas ; y se nos han mostrado por el poder de Dios y no por el de ningún hombre . Y declaramos con palabras solemnes que un ángel de Dios bajó del cielo , y que trajo las planchas y las puso ante nuestros ojos , de manera que las vimos y las contemplamos , así como los grabados que contenían ; y sabemos que es por la gracia de Dios el Padre , y de nuestro Señor Jesucristo , que vimos y testificamos que estas cosas son verdaderas . Y es maravilloso a nuestra vista . Sin embargo , la voz del Señor nos mandó que testificásemos de ello ; por tanto , para ser obedientes a los mandatos de Dios , testificamos estas cosas . Y sabemos que si somos fieles en Cristo , nuestros vestidos quedarán limpios de la sangre de todos los hombres , y nos hallaremos sin mancha ante el tribunal de Cristo , y moraremos eternamente con Él en los cielos . Y sea la honra al Padre , y al Hijo , y al Espíritu Santo , que son un Dios . Amén .
Oliver Cowdery ||| Oliver Cowdery
David Whitmer ||| David Whitmer
Martin Harris ||| Martin Harris
The Testimony of Eight Witnesses ||| El Testimonio de Ocho Testigos
Be it known unto all nations , kindreds , tongues , and people , unto whom this work shall come : That Joseph Smith , Jun ., the translator of this work , has shown unto us the plates of which hath been spoken , which have the appearance of gold ; and as many of the leaves as the said Smith has translated we did handle with our hands ; and we also saw the engravings thereon , all of which has the appearance of ancient work , and of curious workmanship . And this we bear record with words of soberness , that the said Smith has shown unto us , for we have seen and hefted , and know of a surety that the said Smith has got the plates of which we have spoken . And we give our names unto the world , to witness unto the world that which we have seen . And we lie not , God bearing witness of it . ||| Conste a todas las naciones , tribus , lenguas y pueblos a quienes llegare esta obra , que José Smith , hijo , el traductor de ella , nos ha mostrado las planchas de que se ha hablado , las que tienen la apariencia del oro ; y hemos palpado con nuestras manos cuantas hojas el referido Smith ha traducido ; y también vimos los grabados que contenían , todo lo cual tiene la apariencia de una obra antigua y de hechura exquisita . Y testificamos esto con palabras solemnes , y que el citado Smith nos ha mostrado las planchas de que hemos hablado , porque las hemos visto y sopesado , y con certeza sabemos que el susodicho Smith las tiene en su poder . Y damos nuestros nombres al mundo en testimonio de lo que hemos visto . Y no mentimos , pues Dios es nuestro testigo .
Christian Whitmer ||| Christian Whitmer
Jacob Whitmer ||| Jacob Whitmer
Peter Whitmer , Jun . ||| Peter Whitmer , hijo
John Whitmer ||| John Whitmer
Hiram Page ||| Hiram Page
Joseph Smith , Sen . ||| Joseph Smith , padre
Hyrum Smith ||| Hyrum Smith
Samuel   H . Smith ||| Samuel   H . Smith
The Testimony of the Prophet Joseph Smith ||| El Testimonio del profeta José Smith
The Prophet Joseph Smith ’ s own words about the coming forth of the Book of Mormon are : ||| Las propias palabras del profeta José Smith en cuanto a la aparición del Libro de Mormón son las siguientes :
“ On the evening of the … twenty - first of September [1823] … I betook myself to prayer and supplication to Almighty God . … ||| “ En la noche del … día 21 de septiembre [1823]… me puse a orar pidiéndole a Dios Todopoderoso …
“ While I was thus in the act of calling upon God , I discovered a light appearing in my room , which continued to increase until the room was lighter than at noonday , when immediately a personage appeared at my bedside , standing in the air , for his feet did not touch the floor . ||| “ Encontrándome así , en el acto de suplicar a Dios , vi que se aparecía una luz en mi cuarto , y que siguió aumentando hasta que la habitación quedó más iluminada que al mediodía ; cuando repentinamente se apareció un personaje al lado de mi cama , de pie en el aire , porque sus pies no tocaban el suelo .
“ He had on a loose robe of most exquisite whiteness . It was a whiteness beyond anything earthly I had ever seen ; nor do I believe that any earthly thing could be made to appear so exceedingly white and brilliant . His hands were naked , and his arms also , a little above the wrist ; so , also , were his feet naked , as were his legs , a little above the ankles . His head and neck were also bare . I could discover that he had no other clothing on but this robe , as it was open , so that I could see into his bosom . ||| “ Llevaba puesta una túnica suelta de una blancura exquisita . Era una blancura que excedía a cuanta cosa terrenal jamás había visto yo ; y no creo que exista objeto alguno en el mundo que pudiera presentar tan extraordinario brillo y blancura . Sus manos estaban desnudas , y también sus brazos , un poco más arriba de la muñeca ; y de igual manera los pies , así como las piernas , poco más arriba de los tobillos . También tenía descubiertos la cabeza y el cuello , y pude darme cuenta de que no llevaba puesta más ropa que esta túnica , porque estaba abierta de tal manera que podía verle el pecho .
“ Not only was his robe exceedingly white , but his whole person was glorious beyond description , and his countenance truly like lightning . The room was exceedingly light , but not so very bright as immediately around his person . When I first looked upon him , I was afraid ; but the fear soon left me . ||| “ No solo tenía su túnica esta blancura singular , sino que toda su persona era gloriosa más de lo que se puede describir , y su faz era como un vivo relámpago . El cuarto estaba sumamente iluminado , pero no con la brillantez que había en torno de su persona . Cuando lo vi por primera vez , tuve miedo ; mas el temor pronto se apartó de mí .
“ He called me by name , and said unto me that he was a messenger sent from the presence of God to me , and that his name was Moroni ; that God had a work for me to do ; and that my name should be had for good and evil among all nations , kindreds , and tongues , or that it should be both good and evil spoken of among all people . ||| “ Me llamó por mi nombre , y me dijo que era un mensajero enviado de la presencia de Dios , y que se llamaba Moroni ; que Dios tenía una obra para mí , y que entre todas las naciones , tribus y lenguas se tomaría mi nombre para bien y para mal , o sea , que se iba a hablar bien o mal de mí entre todo pueblo .
“ He said there was a book deposited , written upon gold plates , giving an account of the former inhabitants of this continent , and the source from whence they sprang . He also said that the fulness of the everlasting Gospel was contained in it , as delivered by the Savior to the ancient inhabitants ; ||| “ Dijo que se hallaba depositado un libro , escrito sobre planchas de oro , el cual daba una relación de los antiguos habitantes de este continente , así como del origen de su procedencia . También declaró que en él se encerraba la plenitud del evangelio eterno cual el Salvador lo había comunicado a los antiguos habitantes .
“ Also , that there were two stones in silver bows — and these stones , fastened to a breastplate , constituted what is called the Urim and Thummim — deposited with the plates ; and the possession and use of these stones were what constituted ‘ seers ’ in ancient or former times ; and that God had prepared them for the purpose of translating the book . … ||| “ Asimismo , que junto con las planchas estaban depositadas dos piedras en aros de plata , las cuales , aseguradas a un pectoral , formaban lo que se llamaba el Urim y Tumim ; que la posesión y uso de estas piedras era lo que constituía a los ‘ videntes ’ en los días antiguos o anteriores , y que Dios las había preparado para la traducción del libro …
“ Again , he told me , that when I got those plates of which he had spoken — for the time that they should be obtained was not yet fulfilled — I should not show them to any person ; neither the breastplate with the Urim and Thummim ; only to those to whom I should be commanded to show them ; if I did I should be destroyed . While he was conversing with me about the plates , the vision was opened to my mind that I could see the place where the plates were deposited , and that so clearly and distinctly that I knew the place again when I visited it . ||| “ Por otra parte , me manifestó que cuando yo recibiera las planchas de que él había hablado — porque aún no había llegado el tiempo para obtenerlas — no habría de enseñarlas a nadie , ni el pectoral con el Urim y Tumim , sino únicamente a aquellos a quienes se me mandase que las enseñara ; si lo hacía , sería destruido . Mientras hablaba conmigo acerca de las planchas , se manifestó a mi mente la visión de tal modo que pude ver el lugar donde estaban depositadas ; y con tanta claridad y distinción , que reconocí el lugar cuando lo visité .
“ After this communication , I saw the light in the room begin to gather immediately around the person of him who had been speaking to me , and it continued to do so until the room was again left dark , except just around him ; when , instantly I saw , as it were , a conduit open right up into heaven , and he ascended till he entirely disappeared , and the room was left as it had been before this heavenly light had made its appearance . ||| “ Después de esta comunicación , vi que la luz en el cuarto empezaba a juntarse en derredor del personaje que me había estado hablando ; y así continuó hasta que el cuarto una vez más quedó a obscuras , exceptuando alrededor de su persona inmediata ; cuando repentinamente vi abrirse algo como un conducto que iba directamente hasta el cielo , y él ascendió hasta desaparecer por completo , y el cuarto quedó tal como había estado antes de aparecerse esta luz celestial .
“ I lay musing on the singularity of the scene , and marveling greatly at what had been told to me by this extraordinary messenger ; when , in the midst of my meditation , I suddenly discovered that my room was again beginning to get lighted , and in an instant , as it were , the same heavenly messenger was again by my bedside . ||| “ Me quedé reflexionando sobre la singularidad de la escena , y maravillándome grandemente de lo que me había dicho este mensajero extraordinario , cuando en medio de mi meditación de pronto descubrí que mi cuarto empezaba a iluminarse de nuevo , y en lo que me pareció un instante , el mismo mensajero celestial apareció una vez más al lado de mi cama .
“ He commenced , and again related the very same things which he had done at his first visit , without the least variation ; which having done , he informed me of great judgments which were coming upon the earth , with great desolations by famine , sword , and pestilence ; and that these grievous judgments would come on the earth in this generation . Having related these things , he again ascended as he had done before . ||| “ Empezó , y otra vez me dijo las mismísimas cosas que me había relatado en su primera visita , sin la menor variación ; después de lo cual me informó de grandes juicios que vendrían sobre la tierra , con gran desolación causada por el hambre , la espada y pestilencias ; y que esos penosos juicios vendrían sobre la tierra en esta generación . Habiéndome referido estas cosas , de nuevo ascendió como lo había hecho anteriormente .
“ By this time , so deep were the impressions made on my mind , that sleep had fled from my eyes , and I lay overwhelmed in astonishment at what I had both seen and heard . But what was my surprise when again I beheld the same messenger at my bedside , and heard him rehearse or repeat over again to me the same things as before ; and added a caution to me , telling me that Satan would try to tempt me ( in consequence of the indigent circumstances of my father ’ s family ), to get the plates for the purpose of getting rich . This he forbade me , saying that I must have no other object in view in getting the plates but to glorify God , and must not be influenced by any other motive than that of building his kingdom ; otherwise I could not get them . ||| “ Ya para entonces eran tan profundas las impresiones que se me habían grabado en la mente , que el sueño había huido de mis ojos , y yacía dominado por el asombro de lo que había visto y oído . Pero cuál no sería mi sorpresa al ver de nuevo al mismo mensajero al lado de mi cama , y oírlo repasar o repetir las mismas cosas que antes ; y añadió una advertencia , diciéndome que Satanás procuraría tentarme ( a causa de la situación indigente de la familia de mi padre ) a que obtuviera las planchas con el fin de hacerme rico . Esto él me lo prohibió , y dijo que , al obtener las planchas , no tuviera presente más objeto que el de glorificar a Dios , y que ningún otro motivo influyera en mí sino el de edificar su reino ; de lo contrario , no podría obtenerlas .
“ After this third visit , he again ascended into heaven as before , and I was again left to ponder on the strangeness of what I had just experienced ; when almost immediately after the heavenly messenger had ascended from me for the third time , the cock crowed , and I found that day was approaching , so that our interviews must have occupied the whole of that night . ||| “ Después de esta tercera visita , de nuevo ascendió al cielo como antes , y otra vez me quedé meditando en lo extraño de lo que acababa de experimentar ; cuando casi inmediatamente después que el mensajero celestial hubo ascendido por tercera vez , cantó el gallo , y vi que estaba amaneciendo ; de modo que , nuestras conversaciones deben de haber durado toda aquella noche .
“ I shortly after arose from my bed , and , as usual , went to the necessary labors of the day ; but , in attempting to work as at other times , I found my strength so exhausted as to render me entirely unable . My father , who was laboring along with me , discovered something to be wrong with me , and told me to go home . I started with the intention of going to the house ; but , in attempting to cross the fence out of the field where we were , my strength entirely failed me , and I fell helpless on the ground , and for a time was quite unconscious of anything . ||| “ Poco después me levanté de mi cama y , como de costumbre , fui a desempeñar las faenas necesarias del día ; pero al querer trabajar como en otras ocasiones , hallé que se me habían agotado a tal grado las fuerzas , que me sentía completamente incapacitado . Mi padre , que estaba trabajando cerca de mí , vio que algo me sucedía y me dijo que me fuera a casa . Partí de allí con la intención de volver a casa , pero al querer cruzar el cerco para salir del campo en que estábamos , se me acabaron completamente las fuerzas , caí inerte al suelo y por un tiempo no estuve consciente de nada .
“ The first thing that I can recollect was a voice speaking unto me , calling me by name . I looked up , and beheld the same messenger standing over my head , surrounded by light as before . He then again related unto me all that he had related to me the previous night , and commanded me to go to my father and tell him of the vision and commandments which I had received . ||| “ Lo primero que pude recordar fue una voz que me hablaba , llamándome por mi nombre . Alcé la vista , y vi , a la altura de mi cabeza , al mismo mensajero , rodeado de luz como antes . Entonces me relató otra vez todo lo que me había referido la noche anterior , y me mandó que fuera a mi padre y le hablara acerca de la visión y mandamientos que había recibido .
“ I obeyed ; I returned to my father in the field , and rehearsed the whole matter to him . He replied to me that it was of God , and told me to go and do as commanded by the messenger . I left the field , and went to the place where the messenger had told me the plates were deposited ; and owing to the distinctness of the vision which I had had concerning it , I knew the place the instant that I arrived there . ||| “ Obedecí ; regresé a donde estaba mi padre en el campo , y le declaré todo el asunto . Me respondió que era de Dios , y me dijo que fuera e hiciera lo que el mensajero me había mandado . Salí del campo y fui al lugar donde el mensajero me había dicho que estaban depositadas las planchas , y debido a la claridad de la visión que había visto tocante al lugar , en cuanto llegué allí , lo reconocí .
“ Convenient to the village of Manchester , Ontario county , New York , stands a hill of considerable size , and the most elevated of any in the neighborhood . On the west side of this hill , not far from the top , under a stone of considerable size , lay the plates , deposited in a stone box . This stone was thick and rounding in the middle on the upper side , and thinner towards the edges , so that the middle part of it was visible above the ground , but the edge all around was covered with earth . ||| “ Cerca de la aldea de Manchester , condado de Ontario , estado de Nueva York , se levanta una colina de tamaño regular , y la más elevada de todas las de la comarca . Por el costado occidental del cerro , no lejos de la cima , debajo de una piedra de buen tamaño , yacían las planchas , depositadas en una caja de piedra . En el centro , y por la parte superior , esta piedra era gruesa y redonda , pero más delgada hacia los extremos ; de modo que se podía ver la parte céntrica sobre la superficie del suelo , mientras que alrededor de la orilla estaba cubierta de tierra .
“ Having removed the earth , I obtained a lever , which I got fixed under the edge of the stone , and with a little exertion raised it up . I looked in , and there indeed did I behold the plates , the Urim and Thummim , and the breastplate , as stated by the messenger . The box in which they lay was formed by laying stones together in some kind of cement . In the bottom of the box were laid two stones crossways of the box , and on these stones lay the plates and the other things with them . ||| “ Habiendo quitado la tierra , conseguí una palanca que logré introducir debajo de la orilla de la piedra , y con un ligero esfuerzo la levanté . Miré dentro de la caja , y efectivamente vi allí las planchas , el Urim y Tumim y el pectoral , como lo había dicho el mensajero . La caja en que se hallaban estaba hecha de piedras , colocadas en una especie de cemento . En el fondo de la caja había dos piedras puestas transversalmente , y sobre estas descansaban las planchas y los otros objetos que las acompañaban .
“ I made an attempt to take them out , but was forbidden by the messenger , and was again informed that the time for bringing them forth had not yet arrived , neither would it , until four years from that time ; but he told me that I should come to that place precisely in one year from that time , and that he would there meet with me , and that I should continue to do so until the time should come for obtaining the plates . ||| “ Intenté sacarlas , pero me lo prohibió el mensajero ; y de nuevo se me informó que aún no había llegado el tiempo de sacarlas , ni llegaría sino hasta después de cuatro años , a partir de esa fecha ; pero me dijo que debía ir a ese lugar precisamente un año después , y que él me esperaría allí ; y que había de seguir haciéndolo así hasta que llegara el tiempo para obtener las planchas .
“ Accordingly , as I had been commanded , I went at the end of each year , and at each time I found the same messenger there , and received instruction and intelligence from him at each of our interviews , respecting what the Lord was going to do , and how and in what manner his kingdom was to be conducted in the last days . … ||| “ De acuerdo con lo que se me había mandado , acudía al fin de cada año , y en esa ocasión encontraba allí al mismo mensajero , y en cada una de nuestras entrevistas recibía de él instrucciones e inteligencia concernientes a lo que el Señor iba a hacer , y cómo y de qué manera se conduciría su reino en los últimos días …
“ At length the time arrived for obtaining the plates , the Urim and Thummim , and the breastplate . On the twenty - second day of September , one thousand eight hundred and twenty - seven , having gone as usual at the end of another year to the place where they were deposited , the same heavenly messenger delivered them up to me with this charge : that I should be responsible for them ; that if I should let them go carelessly , or through any neglect of mine , I should be cut off ; but that if I would use all my endeavors to preserve them , until he , the messenger , should call for them , they should be protected . ||| “ Por fin llegó el momento de obtener las planchas , el Urim y Tumim y el pectoral . El día veintidós de septiembre de mil ochocientos veintisiete , habiendo ido al fin de otro año , como de costumbre , al lugar donde estaban depositados , el mismo mensajero celestial me los entregó con esta advertencia : que yo sería responsable de ellos ; que si permitía que se extraviaran por algún descuido o negligencia mía , sería desarraigado ; pero que si me esforzaba con todo mi empeño por preservarlos hasta que él ( el mensajero ) viniera por ellos , entonces serían protegidos .
“ I soon found out the reason why I had received such strict charges to keep them safe , and why it was that the messenger had said that when I had done what was required at my hand , he would call for them . For no sooner was it known that I had them , than the most strenuous exertions were used to get them from me . Every stratagem that could be invented was resorted to for that purpose . The persecution became more bitter and severe than before , and multitudes were on the alert continually to get them from me if possible . But by the wisdom of God , they remained safe in my hands , until I had accomplished by them what was required at my hand . When , according to arrangements , the messenger called for them , I delivered them up to him ; and he has them in his charge until this day , being the second day of May , one thousand eight hundred and thirty - eight .” ||| “ Pronto supe por qué había recibido tan estrictos mandatos de guardarlos , y por qué me había dicho el mensajero que cuando terminara lo que se requería de mí , él vendría por ellos . Porque no bien se supo que yo los tenía , comenzaron a hacerse los más tenaces esfuerzos por privarme de ellos . Se recurrió a cuanta estratagema se pudo inventar para realizar ese propósito . La persecución llegó a ser más severa y enconada que antes , y grandes números de personas andaban continuamente al acecho para quitármelos , de ser posible . Pero mediante la sabiduría de Dios , permanecieron seguros en mis manos hasta que cumplí con ellos lo que se requirió de mí . Cuando el mensajero , de conformidad con el arreglo , llegó por ellos , se los entregué ; y él los tiene a su cargo hasta el día de hoy , dos de mayo de mil ochocientos treinta y ocho ”.
For a more complete account , see Joseph Smith — History in the Pearl of Great Price . ||| Para una narración más completa , véase José Smith — Historia en la Perla de Gran Precio .
The ancient record thus brought forth from the earth as the voice of a people speaking from the dust , and translated into modern speech by the gift and power of God as attested by Divine affirmation , was first published to the world in the year 1830 as The Book of Mormon . ||| La historia antigua que así salió de la tierra , como la voz de un pueblo que hablaba desde el polvo , fue traducida a un lenguaje moderno [ el idioma inglés ] por el don y el poder de Dios , según la afirmación divina lo ha atestiguado , y se publicó por primera vez al mundo en inglés en el año 1830 con el título de The Book of Mormon .
A Brief Explanation about the Book of Mormon ||| Una breve explicación acerca del Libro de Mormón
The Book of Mormon is a sacred record of peoples in ancient America and was engraved upon metal plates . Sources from which this record was compiled include the following : ||| El Libro de Mormón es una historia sagrada de pueblos de la América antigua , la cual se grabó en planchas de metal . Las fuentes de donde se compiló esta historia incluyen las siguientes :
The Plates of Nephi , which were of two kinds : the small plates and the large plates . The former were more particularly devoted to spiritual matters and the ministry and teachings of the prophets , while the latter were occupied mostly by a secular history of the peoples concerned (1  Nephi 9:2–4). From the time of Mosiah , however , the large plates also included items of major spiritual importance . ||| Las Planchas de Nefi , que eran de dos clases : las planchas menores y las planchas mayores . Las primeras tenían que ver más en particular con asuntos espirituales y con el ministerio y las enseñanzas de los profetas , mientras que las segundas se ocupaban principalmente de la historia seglar de los pueblos a los que se referían (1  Nefi 9:2–4). Sin embargo , desde la época de Mosíah , también en las planchas mayores se incluyeron asuntos de considerable importancia espiritual .
The Plates of Mormon , which consist of an abridgment by Mormon from the large plates of Nephi , with many commentaries . These plates also contained a continuation of the history by Mormon and additions by his son Moroni . ||| Las Planchas de Mormón , que se componen de un compendio de las planchas mayores de Nefi , hecho por Mormón , con muchos comentarios . Estas planchas también contenían una continuación de la historia escrita por Mormón con aditamentos de su hijo Moroni .
The Plates of Ether , which present a history of the Jaredites . This record was abridged by Moroni , who inserted comments of his own and incorporated the record with the general history under the title “ Book of Ether .” ||| Las Planchas de Éter , que contienen una historia de los jareditas . Esta historia la compendió Moroni , el cual añadió comentarios propios e incorporó dicho compendio en la historia general con el título de “ Libro de Éter ”.
